,id,collection,dc.contributor.advisor,dc.contributor.author[],dc.title[de],dc.title[en],tuhh.contributor.referee,PPN,Verfasser,sonstPers,Titel,RefID_plus_KoRef,Ref,RefKopie,RefID_plus_KoRefKopie
2315.0,6856,20.500.12738/6,"Heinemann, Irmhild","Zierold, Joris::rp08515::600",Business Development einer B2B Online-Plattform auf Grundlage eines visuellen Ansatzes (Business Model Canvas),," Evers, Max ",815598858,"Zierold, Joris","Heinemann, Irmhild [Ref.]; Evers, Max [Ko-Ref.]",Business Development einer B2B Online-Plattform auf Grundlage eines visuellen Ansatzes (Business Model Canvas)," Evers, Max [Ko-Ref.]","Heinemann, Irmhild [Ref.]","Heinemann, Irmhild"," Evers, Max "
1432.0,7774,20.500.12738/6,"Polenz, Wolf","Garthof, Christin::rp09356::600",Berufstätigkeit und Pflegeverantwortung Kann die Doppelbelastung der Beschäftigten durch betriebliche Interventionsmaßnahmen positiv beeinflusst werden?,," Flothow, Annegret ",876175566,"Garthof, Christin","Polenz, Wolf [AkademischeR BetreuerIn]; Flothow, Annegret [AkademischeR BetreuerIn]",Berufstätigkeit und Pflegeverantwortung Kann die Doppelbelastung der Beschäftigten durch betriebliche Interventionsmaßnahmen positiv beeinflusst werden?," Flothow, Annegret [AkademischeR BetreuerIn]","Polenz, Wolf [AkademischeR BetreuerIn]","Polenz, Wolf"," Flothow, Annegret "
2705.0,6459,20.500.12738/6,"Krauß-Leichert, Ute","Stenner, Sophie::rp08155::600",Optimierung von Klassenführungen in der Stadtbibliothek Reinbek beispielhaft dargestellt anhand der vierten Klassenstufe der Gertrud-Lege-Schule in Reinbek,," Gläser, Christine ",780783719,"Stenner, Sophie","Krauß-Leichert, Ute [Ref.]; Gläser, Christine [Ko-Ref.]",Optimierung von Klassenführungen in der Stadtbibliothek Reinbek beispielhaft dargestellt anhand der vierten Klassenstufe der Gertrud-Lege-Schule in Reinbek," Gläser, Christine [Ko-Ref.]","Krauß-Leichert, Ute [Ref.]","Krauß-Leichert, Ute"," Gläser, Christine "
2697.0,6469,20.500.12738/6,"Ullrich, Oliver","Rauchberger, Verena::rp08165::600",Das dermal-entzündliche Infiltrat in Arealen postinflammatorischer Hyperpigmentierung,," Smuda, Christoph ",78129990X,"Rauchberger, Verena","Ullrich, Oliver [Ref.]; Smuda, Christoph [Ko-Ref.]",Das dermal-entzündliche Infiltrat in Arealen postinflammatorischer Hyperpigmentierung," Smuda, Christoph [Ko-Ref.]","Ullrich, Oliver [Ref.]","Ullrich, Oliver"," Smuda, Christoph "
2305.0,6867,20.500.12738/6,"Rechenbach, Peer","Milek, Sebastian::rp08525::600",Sicherheitsrelevante Maßnahmen im Land- und Schiffbau - Brandschutztechnische Betrachtung einer schwimmenden Versammlungsstätte,," Povel, Daniel ",816149399,"Milek, Sebastian","Rechenbach, Peer [Ref.]; Povel, Daniel [Ko-Ref.]",Sicherheitsrelevante Maßnahmen im Land- und Schiffbau," Povel, Daniel [Ko-Ref.]","Rechenbach, Peer [Ref.]","Rechenbach, Peer"," Povel, Daniel "
4617.0,6485,20.500.12738/6,"Strehmel, Petra","Werner, Stephanie::rp08181::600",Veränderungen in der beruflichen Identität des Leitungspersonals von Kindertageseinrichtungen seit Einführung des Kita-Gutschein-Systems in Hamburg,," Meyer, Katharina ",538197587,"Werner, Stephanie","Strehmel, Petra [Ref.]; Meyer, Katharina [Ko-Ref.]",Veränderungen in der beruflichen Identität des Leitungspersonals von Kindertageseinrichtungen seit Einführung des Kita-Gutschein-Systems in Hamburg," Meyer, Katharina [Ko-Ref.]","Strehmel, Petra [Ref.]","Strehmel, Petra"," Meyer, Katharina "
4598.0,6868,20.500.12738/6,"Laberenz, Helmut","Braun, Diana::rp08527::600||Röver, Tina::rp08526::600",Verpflegung in Hamburger Kindertagesstätten Erhebung zur Mahlzeitengestaltung in Hamburger Einrichtungen unter Berücksichtigung der Verwendung von Bio-Lebensmitteln,," Beger, Wolf Dietrich",548303347,"Braun, Diana","Laberenz, Helmut; Beger, Wolf Dietrich",Verpflegung in Hamburger Kindertagesstätten," Beger, Wolf Dietrich","Laberenz, Helmut","Laberenz, Helmut"," Beger, Wolf Dietrich"
2688.0,6478,20.500.12738/6,"Berger, Peter","Konow, Hanno::rp08174::600",Machbarkeitsanalyse zur Implementierung eines Qualitätsmanagementsystems im ö ffentlichen Rettungsdienst des Kreises Stormarn,," Zander, Annett ",781348730,"Konow, Hanno","Berger, Peter [Ref.]; Zander, Annett [Ko-Ref.]",Machbarkeitsanalyse zur Implementierung eines Qualitätsmanagementsystems im öffentlichen Rettungsdienst des Kreises Stormarn," Zander, Annett [Ko-Ref.]","Berger, Peter [Ref.]","Berger, Peter"," Zander, Annett "
2322.0,6849,20.500.12738/6,"Wendholt, Birgit","Zajonz, Michael::rp08510::600",Entwicklung eines Tools zur Aufzeichnung und Wiedererkennung von Körper-Posen und -Gesten,," Meisel, Andreas ",814188710,"Zajonz, Michael","Wendholt, Birgit [Ref.]; Meisel, Andreas [Ko-Ref.]",Entwicklung eines Tools zur Aufzeichnung und Wiedererkennung von Körper-Posen und -Gesten," Meisel, Andreas [Ko-Ref.]","Wendholt, Birgit [Ref.]","Wendholt, Birgit"," Meisel, Andreas "
4797.0,6879,20.500.12738/6,"Hamm, Michael","Toben, Elke::rp08538::600","Konzeption einer Broschüre mit dem Thema ""Soja in der menschlichen Ernährung""",," Dehn, Andrea ",493090371,"Toben, Elke","Hamm, Michael [Ref.]; Dehn, Andrea [Ko-Ref.]",Konzeption einer Broschüre mit dem Thema 'Soja in der menschlichen Ernährung'," Dehn, Andrea [Ko-Ref.]","Hamm, Michael [Ref.]","Hamm, Michael"," Dehn, Andrea "
3285.0,5837,20.500.12738/6,"Wendholt, Birgit","Karstaedt, Bastian::rp07584::600",Kontextinterpretation in Smart Homes auf Basis semantischer 3D Gebäudemodelle,," Luck, Kai von ",718236742,"Karstaedt, Bastian","Wendholt, Birgit [Ref.]; Luck, Kai von [Ko-Ref.]",Kontextinterpretation in Smart Homes auf Basis semantischer 3D Gebäudemodelle," Luck, Kai von [Ko-Ref.]","Wendholt, Birgit [Ref.]","Wendholt, Birgit"," Luck, Kai von "
2479.0,6666,20.500.12738/6,"Güntner, Simon","Hadavandmirzaee, Parivash::rp08340::600",Bildungsbenachteiligung von Kindern mit Migrationshintergrund : Ursachen der Bildungsbenachteiligung und alternative Handlungsmöglichkeiten,," Schürges, Georg ",791766365,"Hadavandmirzaee, Parivash","Güntner, Simon [Ref.]; Schürges, Georg [Ko-Ref.]",Bildungsbenachteiligung von Kindern mit Migrationshintergrund," Schürges, Georg [Ko-Ref.]","Güntner, Simon [Ref.]","Güntner, Simon"," Schürges, Georg "
1470.0,7733,20.500.12738/6,"Meyer-Eschenbach, Andreas","Faber, Moritz::rp09320::600",Methodische Entwicklung und Konstruktion eines Getriebeprüfstandes,," Pieling, Thomas ",874928176,"Faber, Moritz","Meyer-Eschenbach, Andreas [AkademischeR BetreuerIn]; Pieling, Thomas [AkademischeR BetreuerIn]",Methodische Entwicklung und Konstruktion eines Getriebeprüfstandes," Pieling, Thomas [AkademischeR BetreuerIn]","Meyer-Eschenbach, Andreas [AkademischeR BetreuerIn]","Meyer-Eschenbach, Andreas"," Pieling, Thomas "
496.0,8902,20.500.12738/6,"Färber, Christine","Altergott, Christina::rp08242::500",,Compiling of the Profile of Health and Well-being and Highlights on Health and Well-being publications for the WHO Regional Office for Europe - description and critical analysis of the process of creating the Maltese reports," Zöllner, York Francis ",1663275319,"Altergott, Christina","Färber, Christine *1964-* ; ID: gnd/120981092; Zöllner, York Francis *1971-* ; ID: gnd/129796646",Compiling of the Profile of Health and Well-being and Highlights on Health and Well-being publications for the WHO Regional Office for Europe - description and critical analysis of the process of creating the Maltese reports," ID: gnd/120981092; Zöllner, York Francis *1971-* ; ID: gnd/129796646","Färber, Christine *1964-* ","Färber, Christine"," Zöllner, York Francis "
3110.0,6031,20.500.12738/6,"Färber, Christine","Wolters, Isabel::rp02108::500",,Evidence-based extension of the HIV Work-Place-Programme of GIZ Mozambique," Roos-Bugiel, Joana ",735454469,"Wolters, Isabel","Färber, Christine [Ref.]; Roos-Bugiel, Joana [Ko-Ref.]",Evidence-based extension of the HIV Work-Place-Programme of GIZ Mozambique," Roos-Bugiel, Joana [Ko-Ref.]","Färber, Christine [Ref.]","Färber, Christine"," Roos-Bugiel, Joana "
2280.0,6894,20.500.12738/6,"Lewandowski, Dirk","Epp, Margarethe::rp08553::600",Ausgewählte Methoden des Web-Usability und Prototyping zur Analyseund Verbesserung der Homepage des Hochschulinformations- undBibliotheksservice der Hochschule für Angewandte WissenschaftenHamburg,," Spree, Ulrike ",817465502,"Epp, Margarethe","Lewandowski, Dirk [Ref.]; Spree, Ulrike [Ko-Ref.]",Ausgewählte Methoden des Web-Usability und Prototyping zur Analyse und Verbesserung der Homepage des Hochschulinformations- und Bibliotheksservice der Hochschule für Angewandte Wissenschaften Hamburg," Spree, Ulrike [Ko-Ref.]","Lewandowski, Dirk [Ref.]","Lewandowski, Dirk"," Spree, Ulrike "
2279.0,6895,20.500.12738/6,"Krauß-Leichert, Ute","Hilkhausen, Anne::rp08554::600",Interaktiv in der Bibliothek – Empfehlungen für die Anschaffungund Anwendung von Interaktiven Whiteboards in ÖffentlichenBibliotheken,," Gläser, Christine ",817471421,"Hilkhausen, Anne","Krauß-Leichert, Ute [Ref.]; Gläser, Christine [Ko-Ref.]",Interaktiv in der Bibliothek," Gläser, Christine [Ko-Ref.]","Krauß-Leichert, Ute [Ref.]","Krauß-Leichert, Ute"," Gläser, Christine "
4618.0,6465,20.500.12738/6,"Reintjes, Ralf","Schipf, Sabine::rp08161::600",,Ethical Issues in SARS Control," Wehkamp, Karl-Heinz",53764606X,"Schipf, Sabine","Reintjes, Ralf; Wehkamp, Karl-Heinz",Ethical Issues in SARS Control," Wehkamp, Karl-Heinz","Reintjes, Ralf","Reintjes, Ralf"," Wehkamp, Karl-Heinz"
2295.0,6878,20.500.12738/6,"Schillmöller, Zita","Stork, Christine::rp08537::600",Untersuchung der Beratungsqualität und Umsetzung der DEGAM-Leitliniebei Hamburger Orthopäden,," Müller, Katrin ",816883106,"Stork, Christine","Schillmöller, Zita [Ref.]; Müller, Katrin [Ko-Ref.]",Untersuchung der Beratungsqualität und Umsetzung der DEGAM-Leitlinie bei Hamburger Orthopäden," Müller, Katrin [Ko-Ref.]","Schillmöller, Zita [Ref.]","Schillmöller, Zita"," Müller, Katrin "
2319.0,6853,20.500.12738/6,"Wendholt, Birgit","Machatzke, Joscha::rp08512::600",Entwicklung eines kabellosen Sensor/Aktor Netzwerks zur Steuerung einer verteilten Klanginstallaton,," Hübler, Franziska ",81528411X,"Machatzke, Joscha","Wendholt, Birgit [Ref.]; Hübler, Franziska [Ko-Ref.]",Entwicklung eines kabellosen Sensor-Aktor Netzwerks zur Steuerung einer verteilten Klanginstallaton," Hübler, Franziska [Ko-Ref.]","Wendholt, Birgit [Ref.]","Wendholt, Birgit"," Hübler, Franziska "
2692.0,6474,20.500.12738/6,"Pinnau, Hendrik","Entling, Marie-Luise::rp08170::600",Das klimaneutrale Wattenmeer : Grüner Strom für die Hamburger Insel Neuwerk,," Kühle, Heiner ",781346118,"Entling, Marie-Luise","Pinnau, Hendrik [Ref.]; Kühle, Heiner [Ko-Ref.]",Das klimaneutrale Wattenmeer," Kühle, Heiner [Ko-Ref.]","Pinnau, Hendrik [Ref.]","Pinnau, Hendrik"," Kühle, Heiner "
2685.0,6482,20.500.12738/6,"Riehn, Katharina","Riege, Maja::rp08178::600",Die lebensmittelrechtliche Beurteilung von unlöslichen Pflanzenfasern am Beispiel von Weizenhalmfasern,," Unland, Petra Alina ",781352665,"Riege, Maja","Riehn, Katharina [Ref.]; Unland, Petra Alina ; ID: gnd/1112289372",Die lebensmittelrechtliche Beurteilung von unlöslichen Pflanzenfasern am Beispiel von Weizenhalmfasern," Unland, Petra Alina ; ID: gnd/1112289372","Riehn, Katharina [Ref.]","Riehn, Katharina"," Unland, Petra Alina "
2303.0,6870,20.500.12738/6,"Färber, Christine","Temesgen, Rahel::rp08529::600",Optimierung des Gesundheitssystems in Äthiopien mit dem Schwerpunkt: HIV/AIDS,," Paetzelt, Gunnar ",816157758,"Temesgen, Rahel","Färber, Christine [Ref.]; Paetzelt, Gunnar [Ko-Ref.]",Optimierung des Gesundheitssystems in Äthiopien mit dem Schwerpunkt: HIV/AIDS," Paetzelt, Gunnar [Ko-Ref.]","Färber, Christine [Ref.]","Färber, Christine"," Paetzelt, Gunnar "
4033.0,5117,20.500.12738/6,"Westenhöfer, Joachim","Schlieker, Jasmin::rp06901::600",Validität und Reliabilität eines Fragebogens zu Motivationsfaktoren des Essverhaltens,," Adam, Sibylle",627014941,"Schlieker, Jasmin","Westenhöfer, Joachim; Adam, Sibylle",Validität und Reliabilität eines Fragebogens zu Motivationsfaktoren des Essverhaltens," Adam, Sibylle","Westenhöfer, Joachim","Westenhöfer, Joachim"," Adam, Sibylle"
2677.0,6489,20.500.12738/6,"Florthow, Annegret","Oswald, Nadine-Marie::rp08185::600",Betriebliche Gesundheitsförderung im Kontext des demografi schen WandelsEntwicklung eines Konzepts zur Diabetesprävention zur Stärkung derDemografi e-Fitness bei Berufskraftfahrern,," Behr-Völtzer, Christine ",781536960,"Oswald, Nadine-Marie","Florthow, Annegret [Ref.]; Behr-Völtzer, Christine [Ko-Ref.]",Betriebliche Gesundheitsförderung im Kontext des demografischen Wandels," Behr-Völtzer, Christine [Ko-Ref.]","Florthow, Annegret [Ref.]","Florthow, Annegret"," Behr-Völtzer, Christine "
2696.0,6470,20.500.12738/6,"Plotkin, Juriy","Gerdiken, Christine::rp08166::600",Analyse der Spannungsqualität für den Ausbau und die Netzintegration vonPhotovoltaikanlagen  - anhand der Modellkommune ElektromobilitätGarmisch-Partenkirchen,," Nobis, Philipp ",781300738,"Gerdiken, Christine","Plotkin, Juriy [Ref.]; Nobis, Philipp [Ko-Ref.]",Analyse der Spannungsqualität für den Ausbau und die Netzintegration von Photovoltaikanlagen anhand der Modellkommune Elektromobilität Garmisch-Partenkirchen," Nobis, Philipp [Ko-Ref.]","Plotkin, Juriy [Ref.]","Plotkin, Juriy"," Nobis, Philipp "
2310.0,6862,20.500.12738/6,"Färber, Christine","Holst, Daniel::rp08521::600",Gedanken zur Berufsaufgabe im ärztlichen Karriereverlauf. Statistische Analyse im Rahmen des Projektes „Karriereverläufe von Ärztinnen und Ärzten während der fachärztlichen Weiterbildung (KarMed),," Hielscher, Nina ",81612194X,"Holst, Daniel","Färber, Christine [Ref.]; Hielscher, Nina [Ko-Ref.]",Gedanken zur Berufsaufgabe im ärztlichen Karriereverlauf," Hielscher, Nina [Ko-Ref.]","Färber, Christine [Ref.]","Färber, Christine"," Hielscher, Nina "
4533.0,7177,20.500.12738/6,"Schmidt, Ralph","Ersümer, Hakan::rp08812::600",Was guckst du? : eine exemplarische Analyse zu Konsum und Akzeptanz von Medienangeboten für deutschtürkische Bürger in Hamburg,," Kübler, Hans-Dieter ",55045764X,"Ersümer, Hakan","Schmidt, Ralph [Ref.]; Kübler, Hans-Dieter [Ko-Ref.]",Was guckst du?," Kübler, Hans-Dieter [Ko-Ref.]","Schmidt, Ralph [Ref.]","Schmidt, Ralph"," Kübler, Hans-Dieter "
2700.0,6466,20.500.12738/6,"Ullrich, Oliver","Knüppel, Kristin::rp08162::600",Ansatzpunkte für die Modulation der postinflammatorischen Hyperpigmentierung – Rolle des dermalen entzündlichen Infiltrats im Vergleich zur UV-induzierten Pigmentierung,," Smuda, Christoph ",781287278,"Knüppel, Kristin","Ullrich, Oliver [Ref.]; Smuda, Christoph [Ko-Ref.]",Ansatzpunkte für die Modulation der postinflammatorischen Hyperpigmentierung," Smuda, Christoph [Ko-Ref.]","Ullrich, Oliver [Ref.]","Ullrich, Oliver"," Smuda, Christoph "
2294.0,6880,20.500.12738/6,"Flothow, Annegret","Schäfer, Lisa Marie::rp08539::600",Fokusgruppen zur Evaluation von „Fit im Alter,," Hantelmann, Ute ",816884021,"Schäfer, Lisa Marie","Flothow, Annegret [Ref.]; Hantelmann, Ute [Ko-Ref.]",Fokusgruppen zur Evaluation von „Fit im Alter'," Hantelmann, Ute [Ko-Ref.]","Flothow, Annegret [Ref.]","Flothow, Annegret"," Hantelmann, Ute "
2703.0,6461,20.500.12738/6,"Swoboda, Wolfgang","Salenko, Alexander::rp08157::600","Visualisierungshilfen für den Datenjournalismus – Auswahl, Test und Bewertung von Visualisierungstools",," Ludwig, Johannes ",78078667X,"Salenko, Alexander","Swoboda, Wolfgang [Ref.]; Ludwig, Johannes [Ko-Ref.]",Visualisierungshilfen für den Datenjournalismus," Ludwig, Johannes [Ko-Ref.]","Swoboda, Wolfgang [Ref.]","Swoboda, Wolfgang"," Ludwig, Johannes "
2454.0,6692,20.500.12738/6,"Weber, Petra","Delfs, Jule::rp08366::600",Pflege zur Mobilitätserhaltung,," Prühlen, Sünje ",796458308,"Delfs, Jule","Weber, Petra [Ref.]; Prühlen, Sünje [Ko-Ref.]",Pflege zur Mobilitätserhaltung," Prühlen, Sünje [Ko-Ref.]","Weber, Petra [Ref.]","Weber, Petra"," Prühlen, Sünje "
2314.0,6857,20.500.12738/6,"Röther, Michael","Niklaas, Ites::rp08516::600",Ermittlung von ertragsrelevanten Fehlern bei PhotovoltaikParks mittels verschiedener Mess- und Prüfmethoden,," Vaupel, Gustav ",816114390,"Niklaas, Ites","Röther, Michael [Ref.]; Vaupel, Gustav [Ko-Ref.]",Ermittlung von ertragsrelevanten Fehlern bei Photovoltaik Parks mittels verschiedener Mess- und Prüfmethoden," Vaupel, Gustav [Ko-Ref.]","Röther, Michael [Ref.]","Röther, Michael"," Vaupel, Gustav "
2687.0,6479,20.500.12738/6,"Färber, Christine","Kondrat, Monika::rp08175::600",Medizinische Behandlungsfehler: Analyse des Spannungsfeldes zwischen Arzt-und Patientenperspektive,," Bendt, Wiebke ",781349354,"Kondrat, Monika","Färber, Christine [Ref.]; Bendt, Wiebke [Ko-Ref.]",Medizinische Behandlungsfehler," Bendt, Wiebke [Ko-Ref.]","Färber, Christine [Ref.]","Färber, Christine"," Bendt, Wiebke "
2317.0,6850,20.500.12738/6,"Kölzer, Hans-Peter","Schüthe, Thorben::rp00090::500",Entwicklung eines Kalibrierverfahrens für 3D-Lasertriangulation-Kameras,," Dahlkemper, Jörg ",81538730X,"Schüthe, Thorben","Kölzer, Hans-Peter [Ref.]; Dahlkemper, Jörg [Ko-Ref.]",Entwicklung eines Kalibrierverfahrens für 3D-Lasertriangulation-Kameras," Dahlkemper, Jörg [Ko-Ref.]","Kölzer, Hans-Peter [Ref.]","Kölzer, Hans-Peter"," Dahlkemper, Jörg "
2681.0,6486,20.500.12738/6,"Düren, Petra","Kobus, Sascha::rp08182::600",Evaluation der Erfolgsfaktoren von Recruiting-Videos bei Studierenden des Departments Informatik an der HAW Hamburg mittels Choice-Based Conjoint-Analyse,," Gundlach, Hardy ",78135773X,"Kobus, Sascha","Düren, Petra [Ref.]; Gundlach, Hardy [Ko-Ref.]",Evaluation der Erfolgsfaktoren von Recruiting-Videos bei Studierenden des Departments Informatik an der HAW Hamburg mittels Choice-Based Conjoint-Analyse," Gundlach, Hardy [Ko-Ref.]","Düren, Petra [Ref.]","Düren, Petra"," Gundlach, Hardy "
2887.0,6238,20.500.12738/6,"Perger, Gabriele","Wunderle, Clemens::rp07947::600",Zwischen Sterben & Tod – Ermittlung psychischer Belastungen bei Hospizmitarbeitern,," Denecke, Christiane ",775182583,"Wunderle, Clemens","Perger, Gabriele [Ref.]; Denecke, Christiane [Ko-Ref.]",Zwischen Sterben & Tod," Denecke, Christiane [Ko-Ref.]","Perger, Gabriele [Ref.]","Perger, Gabriele"," Denecke, Christiane "
4560.0,6475,20.500.12738/6,"Schmidt-Grunert, Marianne","Moseberg, Silke::rp08171::600",Zwischen Kindheit und Erwachsenwerden : Die Fragen der Notwendigkeit und der Möglichkeiten zur Initiation junger Menschen,," Biebrach-Plett, Ulla ",538186070,"Moseberg, Silke","Schmidt-Grunert, Marianne [Ref.]; Biebrach-Plett, Ulla [Ko-Ref.]",Zwischen Kindheit und Erwachsenwerden," Biebrach-Plett, Ulla [Ko-Ref.]","Schmidt-Grunert, Marianne [Ref.]","Schmidt-Grunert, Marianne"," Biebrach-Plett, Ulla "
3261.0,5868,20.500.12738/6,"Ullrich, Oliver","Klepko, Igor::rp07613::600",Pflanzlicher Serumersatz aus dem Hokkaido-Kürbis für die Kultivierung von CHO-Zellen,," Anspach, Birger ",719942632,"Klepko, Igor","Ullrich, Oliver [Ref.]; Anspach, Birger [Ko-Ref.]",Pflanzlicher Serumersatz aus dem Hokkaido-Kürbis für die Kultivierung von CHO-Zellen," Anspach, Birger [Ko-Ref.]","Ullrich, Oliver [Ref.]","Ullrich, Oliver"," Anspach, Birger "
2300.0,6873,20.500.12738/6,"Nast, Eckart","Gustowski, Elvis::rp08532::600",Numerische Untersuchung des Einflusses von Harztaschen auf das interlaminare Versagen in Verjüngungen von Faserverbundstrukturen,," Schürg, Marco ",816870128,"Gustowski, Elvis","Nast, Eckart [Ref.]; Schürg, Marco [Ko-Ref.]",Numerische Untersuchung des Einflusses von Harztaschen auf das interlaminare Versagen in Verjüngungen von Faserverbundstrukturen," Schürg, Marco [Ko-Ref.]","Nast, Eckart [Ref.]","Nast, Eckart"," Schürg, Marco "
1893.0,7290,20.500.12738/6,"Piskun, Alexander","Mannov, Alexander::rp08916::600",Entwicklung einer Tool-Landschaft zur teilautomatischen Nachweisführung der Flugzeug-Lavatories in HyperWorks-Umgebung,," Schulte-Bisping, Eiris ",856682918,"Mannov, Alexander","Piskun, Alexander [Ref.]; Schulte-Bisping, Eiris [Ko-Ref.]",Entwicklung einer Tool-Landschaft zur teilautomatischen Nachweisführung der Flugzeug-Lavatories in HyperWorks-Umgebung," Schulte-Bisping, Eiris [Ko-Ref.]","Piskun, Alexander [Ref.]","Piskun, Alexander"," Schulte-Bisping, Eiris "
2307.0,6865,20.500.12738/6,"Schillmöller, Zita","Lenhardt, Daniel::rp08523::600",Zeitarbeit auf intensivmedizinischen Stationen,," Ohlroggen, Stephanie ",816124531,"Lenhardt, Daniel","Schillmöller, Zita [Ref.]; Ohlroggen, Stephanie [Ko-Ref.]",Zeitarbeit auf intensivmedizinischen Stationen," Ohlroggen, Stephanie [Ko-Ref.]","Schillmöller, Zita [Ref.]","Schillmöller, Zita"," Ohlroggen, Stephanie "
2318.0,6854,20.500.12738/6,"Meisel, Andreas","Pätzold, Maik::rp08513::600",Entwicklung eines Kleinroboters für die Kleinteilsuche,," Baran, Reinhard ",815285582,"Pätzoldl, Maik","Meisel, Andreas [Ref.]; Baran, Reinhard [Ko-Ref.]",Entwicklung eines Kleinroboters für die Kleinteilsuche," Baran, Reinhard [Ko-Ref.]","Meisel, Andreas [Ref.]","Meisel, Andreas"," Baran, Reinhard "
2695.0,6471,20.500.12738/6,"Lorenz, Jürgen","Schollmayer, Jonas::rp08167::600",Automatisierung der Spermien-FISH Diagnostik,," Aprs, Sönke ",781301564,"Schollmayer, Jonas","Lorenz, Jürgen [Ref.]; Aprs, Sönke [Ko-Ref.]",Automatisierung der Spermien-FISH Diagnostik," Aprs, Sönke [Ko-Ref.]","Lorenz, Jürgen [Ref.]","Lorenz, Jürgen"," Aprs, Sönke "
4523.0,7291,20.500.12738/6,"Krauß-Leichert, Ute","Moje, Sarah::rp08917::600",Freie Bahn für ein System! : Analyse und Empfehlung für ein effizientes Informationsmanagement im Systemverbund der Deutschen Bahn AG,," Geeb, Franziskus ",550470247,"Moje, Sarah","Krauß-Leichert, Ute [Ref.]; Geeb, Franziskus [Ko-Ref.]",Freie Bahn für ein System!," Geeb, Franziskus [Ko-Ref.]","Krauß-Leichert, Ute [Ref.]","Krauß-Leichert, Ute"," Geeb, Franziskus "
2551.0,6490,20.500.12738/6,"Hagen, Jutta","Holzweißig, Frederike::rp08186::600",„Was ist mit uns?“ Die vergessene Zielgruppe der aktuellen Hamburger Schulpolitik: Eltern behinderter Kinder,," Weber, Jack ",781537134,"Holzweißig, Frederike","Hagen, Jutta [Ref.]; Weber, Jack [Ko-Ref.]",Was ist mit uns? Die vergessene Zielgruppe der aktuellen Hamburger Schulpolitik," Weber, Jack [Ko-Ref.]","Hagen, Jutta [Ref.]","Hagen, Jutta"," Weber, Jack "
2684.0,6483,20.500.12738/6,"Düren, Petra","Hohlfeld, Friederike::rp08179::600",ISO-zertifizierte Bibliotheken – Hat sich der Aufwand gelohnt?Eine Untersuchung anhand zertifizierter Öffentlicher Bibliotheken,," Gläser, Christiane ",78135336X,"Hohlfeld, Friederike","Düren, Petra [Ref.]; Gläser, Christiane [Ko-Ref.]",ISO-zertifizierte Bibliotheken," Gläser, Christiane [Ko-Ref.]","Düren, Petra [Ref.]","Düren, Petra"," Gläser, Christiane "
1990.0,7168,20.500.12738/6,"Zukunft, Olaf","Krohn, Henning::rp08803::600",Evaluierung von Cloud Computing für KMU,," Weißbach, Rüdiger ",840687575,"Krohn, Henning","Zukunft, Olaf [Ref.]; Weißbach, Rüdiger [Ko-Ref.]",Evaluierung von Cloud Computing für KMU," Weißbach, Rüdiger [Ko-Ref.]","Zukunft, Olaf [Ref.]","Zukunft, Olaf"," Weißbach, Rüdiger "
2312.0,6860,20.500.12738/6,"Oppermann, Stefan","Siebert, Peter::rp08519::600",Untersuchung über den Einfluss von kontinuierlicher Herzdruckmassage auf Beatmungsvolumina bei Nutzung unterschiedlicher Beatmungsmöglichkeiten- ein Modellversuch - Vergleich verschiedener Beatmungsgeräte bei unterschiedlichem sicherem Atemweg unter kontinuierlicher Thoraxkompression an einem Reanimationsmodell,," Marung, Hartwig ",816119694,"Siebert, Peter *1968-* ; ID: gnd/122956710","Oppermann, Stefan [Ref.]; Marung, Hartwig *1968-* ; ID: gnd/123844649",Untersuchung über den Einfluss von kontinuierlicher Herzdruckmassage auf Beatmungsvolumina bei Nutzung unterschiedlicher Beatmungsmöglichkeiten," Marung, Hartwig *1968-* ; ID: gnd/123844649","Oppermann, Stefan [Ref.]","Oppermann, Stefan"," Marung, Hartwig "
1980.0,7179,20.500.12738/6,"Holle, Martin","Paul, Selina::rp08814::600",Allergenkennzeichnung in gastronomischen Betrieben nach Vorgaben der Lebensmittelinformationsverordnung,," Hoth, Stefan ",843554126,"Paul, Selina","Holle, Martin [Ref.]; Hoth, Stefan [Ko-Ref.]",Allergenkennzeichnung in gastronomischen Betrieben nach Vorgaben der Lebensmittelinformationsverordnung," Hoth, Stefan [Ko-Ref.]","Holle, Martin [Ref.]","Holle, Martin"," Hoth, Stefan "
2453.0,6693,20.500.12738/6,"Gaidys, Uta","Busch, Daniel-Vincent::rp08367::600",Pflege zwischen den Zeilen : Eine Analyse medialer Berichterstattung zum Thema Pflege und ihrer Konsequenzen für die pflegerische Praxis,," Feldhaus, Walburga ",796458979,"Busch, Daniel-Vincent","Gaidys, Uta [Ref.]; Feldhaus, Walburga [Ko-Ref.]",Pflege zwischen den Zeilen," Feldhaus, Walburga [Ko-Ref.]","Gaidys, Uta [Ref.]","Gaidys, Uta"," Feldhaus, Walburga "
2296.0,6877,20.500.12738/6,"Reintjes, Ralf","Ochterbeck, Doris::rp08536::600",Erhöhte Mortalität und Morbidität bei LinkshänderInnen - Evidenz oder Hypothese?  Eine systematische Literaturrecherche,," Borczyskowski, Annika von ",816882525,"Ochterbeck, Doris","Reintjes, Ralf [Ref.]; Borczyskowski, Annika von [Ko-Ref.]",Erhöhte Mortalität und Morbidität bei LinkshänderInnen," Borczyskowski, Annika von [Ko-Ref.]","Reintjes, Ralf [Ref.]","Reintjes, Ralf"," Borczyskowski, Annika von "
